,Unnamed: 0,Unnamed: 0.1,raw_text,clean,label,sentiment_vector,vader_polarity,sentiment_score,sentiment_0,sentiment_1,sentiment_2
67,67,67,"ISS Astronaut Sick Of Sharing Confined Space With Crass, Disgusting Partner From Polaris 8 ",i astronaut sick share confin space crass disgust partner polari,1,"[0.468, 0.39, 0.143, -0.7184]",-1,-0.7184,0.46799999999999997,0.39,0.14300000000000002
68,68,68,Tom Brady Feeling Guilty After Gorging Self On Full Order Of Kansas-City-Style Tap Water ,tom bradi feel guilti gorg self full order kansa citi style tap water,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
69,69,69,Fans Shocked After Marie Kondo Reveals She Has Been Dating Untidy Cupboard For Past 6 Months ,fan shock mari kondo reveal date untidi cupboard past month,1,"[0.202, 0.62, 0.178, -0.0772]",0,-0.0772,0.20199999999999999,0.62,0.17800000000000002
70,70,70,Yahoo! Turns 25 ,yahoo turn,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
71,71,71,Woman Didn’t Know Progress On Toxic Masculinity Would Turn Boyfriend Into Such A Weepy Little Pansy… ,woman know progress toxic masculin would turn boyfriend weepi littl pansi,1,"[0.0, 0.781, 0.219, 0.4215]",0,0.4215,0.0,0.7809999999999999,0.21899999999999997
72,72,72,"University With 20,000 Applicants To Choose From Somehow Goes With Caitlin ",univers applic choos somehow go caitlin,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
73,73,73,Film Character Moves Into Beautiful Brooklyn Brownstone After Getting Dream Publishing Job ,film charact move beauti brooklyn brownston get dream publish job,1,"[0.0, 0.818, 0.182, 0.25]",0,0.25,0.0,0.818,0.182
74,74,74,New Employee Has Never Known Decadent Pleasures Of Old Office ,new employe never known decad pleasur old offic,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
75,75,75,Insurance Only Covers Generic Heart Transplant ,insur cover generic heart transplant,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
76,76,76,Report: Biggest Parenting Fear Remains Losing Child In High-Stakes Poker Tournament ,report biggest parent fear remain lose child high stake poker tournament,1,"[0.396, 0.604, 0.0, -0.7096]",0,-0.7096,0.396,0.604,0.0
77,77,77,"Judi Dench, Jack Nicholson, Jeremy Irons, Meryl Streep Fondly Recall Getting Start As Part Of 1993 Mouseketeer Clas… ",judi dench jack nicholson jeremi iron meryl streep fond recal get start part mouseket clas,1,"[0.0, 0.828, 0.172, 0.4404]",0,0.4404,0.0,0.828,0.172
78,78,78,"Christ, the fucking gall, thinking she can just represent the beliefs and desires of the people who elected her. ",christ fuck gall think repres belief desir peopl elect,1,"[0.304, 0.696, 0.0, -0.5423]",0,-0.5423,0.304,0.696,0.0
79,79,79,Aspen Police Continue Search For Missing Ski ,aspen polic continu search miss ski,1,"[0.242, 0.758, 0.0, -0.1531]",0,-0.1531,0.242,0.758,0.0
80,80,80,Visit to see more from the standard bearer of global journalism. ,visit see standard bearer global journal,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
81,81,81,"‘Yes, But How Did He Die?’ Ghoulish American Public Asks Of Recent Celebrity Death While Rubbing Delicate, Bony Han… ",yes die ghoulish american public ask recent celebr death rub delic boni han,1,"[0.38, 0.488, 0.132, -0.7269]",0,-0.7269,0.38,0.488,0.132
82,82,82,John Bolton Insists Iran Likely Harboring Dangerous Terrorist Osama Bin Laden ,john bolton insist iran like harbor danger terrorist osama bin laden,1,"[0.435, 0.43, 0.134, -0.765]",-1,-0.765,0.435,0.43,0.134
83,83,83,Could This Be The Last Season We See Rob Gronkowski Fully Assembled In A Patriots Uniform? ,could last season see rob gronkowski fulli assembl patriot uniform,1,"[0.286, 0.714, 0.0, -0.5574]",0,-0.5574,0.28600000000000003,0.7140000000000001,0.0
84,84,84,"‘Don’t Make Me Regret This,’ Mueller Tells Rick Gates Before Uncuffing Him To Work On Investigation Together… ",make regret mueller tell rick gate uncuf work investig togeth,1,"[0.237, 0.763, 0.0, -0.4215]",0,-0.4215,0.237,0.763,0.0
85,85,85,Pelosi Asks Trump To Delay State of the Union During Shutdown #WhatDoYouThink? ,pelosi ask trump delay state union shutdown whatdoyouthink,1,"[0.247, 0.753, 0.0, -0.3182]",0,-0.3182,0.247,0.753,0.0
86,86,86,Poll Finds 100% Of Americans Blame Shutdown Entirely On Colorado Representative Scott Tipton ,poll find american blame shutdown entir colorado repres scott tipton,1,"[0.211, 0.789, 0.0, -0.34]",0,-0.34,0.21100000000000002,0.789,0.0
87,87,87,Karen Pence Returns To Work As Part-Time Nude Art Model ,karen penni return work part time nude art model,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
88,88,88,Ames Executives Scrambling After New Shovel Design Leaks ,ame execut scrambl new shovel design leak,1,"[0.286, 0.714, 0.0, -0.34]",0,-0.34,0.28600000000000003,0.7140000000000001,0.0
89,89,89,Zamboni Jams Up After Running Over Large Patch Of Loose Teeth ,zamboni jam run larg patch loos teeth,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
90,90,90,This The Fuck Harness Sex Shop Worker Has At Home ,fuck har sex shop worker home,1,"[0.412, 0.588, 0.0, -0.5423]",0,-0.5423,0.41200000000000003,0.588,0.0
91,91,91,5 Things To Know About ‘Glass’ ,thing know glass,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
92,92,92,Man Nervous About Telling Date He Has Her Kids ,man nervous tell date kid,1,"[0.344, 0.656, 0.0, -0.2732]",0,-0.2732,0.344,0.6559999999999999,0.0
93,93,93,Netflix Raising Prices #WhatDoYouThink? ,netflix rais price whatdoyouthink,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
94,94,94,Study: People Far Away From You Not Actually Smaller ,studi peopl far away actual smaller,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
95,95,95,Thousands Of Eggs Pushed Out Of Nests After Birds Legalize Abortion ,thousand egg push nest bird legal abort,1,"[0.0, 0.8, 0.2, 0.128]",0,0.128,0.0,0.8,0.2
96,96,96,Empty Yogurt Cup Completes Tableau Of Used Food Containers On Single Man’s Windowsill ,empti yogurt cup complet tableau use food contain singl man windowsil,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
97,97,97,Biological Life Regrets Waiting 2.3 Billion Years To Try Sex ,biolog life regret wait billion year tri sex,1,"[0.286, 0.714, 0.0, -0.4215]",0,-0.4215,0.28600000000000003,0.7140000000000001,0.0
98,98,98,Researchers: Quality Of Sleep May Be Affected By Abandoning Family In 1994 ,research qualiti sleep may affect abandon famili,1,"[0.326, 0.674, 0.0, -0.4404]",0,-0.4404,0.326,0.674,0.0
99,99,99,"For the latest from the world’s most unstoppable media juggernaut, visit ",latest world unstopp medium juggernaut visit,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
100,100,100,Man Tries Using Pink 6-Pound Bowling Ball To Great Amusement ,man tri use pink pound bowl ball great amus,1,"[0.0, 0.661, 0.339, 0.6249]",0,0.6249,0.0,0.6609999999999999,0.33899999999999997
101,101,101,"I’ve driven past this place before, but this is the first time I’ve ever had the chance to try it. ",driven past place first time ever chanc tri,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
102,102,102,Nation Admits It Always A Little Bored By Whole Jimmy Hoffa Thing ,nation admit alway littl bore whole jimmi hoffa thing,1,"[0.185, 0.648, 0.167, -0.0516]",0,-0.0516,0.185,0.648,0.16699999999999998
103,103,103,No One In Gang Has Heart To Tell Police Informant His Cover's Blown ,one gang heart tell polic inform cover blown,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
104,104,104,Report: There No Way Of Knowing Whether The Vague Award Mom Won At Work A Big Deal Or What ,report way know whether vagu award mom work big deal,1,"[0.0, 0.72, 0.28, 0.5423]",0,0.5423,0.0,0.72,0.28
105,105,105,U.K. Parliament Rejects Theresa May’s Brexit Deal #WhatDoYouThink? ,u k parliament reject theresa may brexit deal whatdoyouthink,1,"[0.31, 0.69, 0.0, -0.4019]",0,-0.4019,0.31,0.69,0.0
106,106,106,"Woman Rushes To Hide Fragile Objects, Cover Up Sharp Corners On Tables Before Boyfriend Comes Over… ",woman rush hide fragil object cover sharp corner tabl boyfriend come,1,"[0.145, 0.855, 0.0, -0.1779]",0,-0.1779,0.145,0.855,0.0
107,107,107,Pretentious Woman Refers To Slam Piece As ‘Partner’ ,pretenti woman refer slam piec partner,1,"[0.342, 0.658, 0.0, -0.3818]",0,-0.3818,0.342,0.6579999999999999,0.0
108,108,108,New Hampshire Legislature Passes Bill Naming Fentanyl State Opiate ,new hampshir legislatur pass bill name fentanyl state opiat,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
109,109,109,Pros And Cons Of Pet Insurance ,pro con pet insur,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
110,110,110,Photo Of Egg Breaks World Record For Most-Liked Instagram Post #WhatDoYouThink? ,photo egg break world record like instagram post whatdoyouthink,1,"[0.0, 0.762, 0.238, 0.3612]",0,0.3612,0.0,0.762,0.23800000000000002
111,111,111,Veteran Brita Filter’s Tour Of Duty Extended Another 3 Months ,veteran brita filter tour duti extend anoth month,1,"[0.0, 0.805, 0.195, 0.1779]",0,0.1779,0.0,0.805,0.195
112,112,112,Lifelong Boise Resident Realizes He's Never Been To Morrison Knudsen Nature Center ,lifelong bois resid realiz never morrison knudsen natur center,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
113,113,113,Report: Average Person Spends 27% Of Lifetime In The Way ,report averag person spend lifetim way,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
114,114,114,"Believe me, those 12 chairs will definitely come in handy the next time some unexpected guests stop by for game ni… 
Maximum-Security Prison Houses State’s Most Hardened, Violent Guards 
National News Highlights 
Area Theater Has Strict Rule Against Bringing In Outside Movies 
To see more unmatched reporting, visit 
55-Year-Old Guy Dominating YMCA Pickup Basketball Game 
Fed-Up EU Rejects United Kingdom, Gives British 30 Days To Vacate Europe 
GOP Leaders Condemn Steve King For White Supremacy Comment #WhatDoYouThink? 
Government Shutdowns By The Numbers 
Prego Marketing New Marinara As ‘The Premiere Sauce For The #MeToo Moment’ 
NBA Ref Petrified After Seeing Depiction Of Own Death While Looking Under Replay Hood 
Viagra Announces Real Medicine That Gave Customers Erections Was Confidence All Along 
Man Crouched Inside Of Robotic Welding Arm Terrified Robot Will Eventually Take His Job 
Poll Shows Increasing Number Of Voters Blame Founding Fathers For Starting America 
FBI Opened Inquiry Into Whether Trump Working For Russians #WhatDoYouThink? 
William Barr Assures Senate He Will Let Donald Trump Finish His Job Without Any Interference 
Mom Wants To Know If You Could Use Grandma’s Antique, 12-Person Dining Room Table In Your Studio Apartment… 
Chuck Schumer Honestly Pretty Amazed He Hasn’t Caved Yet 
Your Horoscopes — Week Of January 15, 2019 
Man Removing Sweatshirt Offers Coworkers Tantalizing Glimpse Of Bare Midriff 
Biologists Announce They’re All Done With Rodents 
New Office Manager Provides Terrifying Glimpse Into Plans For Regime By Placing New Collection Of Teas In Drawer… 
Bengal Tigers’ Habitat Down To Studio Apartment In Jaipur, India 
This is awesome. I’ve been looking forward to this ever since season one."" ",believ chair definit come handi next time unexpect guest stop game ni maximum secur prison hous state harden violent guard nation news highlight area theater strict rule bring outsid movi see unmatch report visit year old guy domin ymca pickup basketbal game fed eu reject unit kingdom give british day vacat europ gop leader condemn steve king white supremaci comment whatdoyouthink govern shutdown number prego market new marinara premier sauc metoo moment nba ref petrifi see depict death look replay hood viagra announc real medicin gave custom erect confid along man crouch insid robot weld arm terrifi robot eventu take job poll show increas number voter blame found father start america fbi open inquiri whether trump work russian whatdoyouthink william barr assur senat let donald trump finish job without interfer mom want know could use grandma antiqu person dine room tabl studio apart chuck schumer honest pretti amaz cave yet horoscop week januari man remov sweatshirt offer cowork tantal glimps bare midriff biologist announc done rodent new offic manag provid terrifi glimps plan regim place new collect tea drawer bengal tiger habitat studio apart jaipur india awesom look forward ever sinc season one,1,"[0.105, 0.856, 0.039, -0.9315]",0,-0.9315,0.105,0.856,0.039
115,115,115,Man Has Been Meaning To Catch Up On Whole Of Human Artistic Endeavor ,man mean catch whole human artist endeavor,1,"[0.0, 1.0, 0.0, 0.0]",0,0.0,0.0,1.0,0.0
116,116,116,"‘I Want To Be With Someone Else,’ Says Woman Who Must Think 3-Time Hyundai Sales Leaders Grow On Trees… ",want someon els say woman must think time hyundai sale leader grow tree,1,"[0.0, 0.902, 0.098, 0.0772]",0,0.0772,0.0,0.902,0.098
117,117,117,Frustrated Employee No Longer Even Trying To Hide GRE Study Books ,frustrat employe longer even tri hide gre studi book,1,"[0.175, 0.825, 0.0, -0.1779]",0,-0.1779,0.175,0.825,0.0
118,118,118,Poll: Most Americans Blame Trump For Shutdown #WhatDoYouThink? ,poll american blame trump shutdown whatdoyouthink,1,"[0.324, 0.676, 0.0, -0.34]",0,-0.34,0.324,0.6759999999999999,0.0
