,label_norm,headline_text,subject,stateinfo,partyaffiliation,barelytruecounts_norm,falsecounts_norm,halftruecounts_norm,mostlytrueocunts_norm,pantsonfirecounts_norm,clickbait_score_norm,clean,sentiment_vector,vader_polarity,sentiment_score,index,topic_number,lda_score,topic_top_words
12,-1.176990801292362,"When Mitt Romney was governor of Massachusetts, we didnt just slow the rate of growth of our government, we actually cut it.","history,state-budget",Massachusetts,republican,0.9777910606372885,0.6330344853382569,0.9381864456404031,0.3194373918392548,1.2098627783339995,1.109314843413025,mitt romney governor massachusetts didn slow rate growth govern actual cut,"[0.153, 0.657, 0.19, 0.128]",0,0.128,12,1,0.7442840933799744,million said health romney govern care weve budget month vote
14,-1.176990801292362,Most of the (Affordable Care Act) has already in some sense been waived or otherwise suspended.,health-care,Maryland,columnist,-0.3243843669357523,-0.3561207554525178,-0.45527406923120006,-0.38352243366708905,-0.3570006163175212,0.9627406076652723,afford care act already sens wait otherwise suspend,"[0.2, 0.522, 0.278, 0.2263]",0,0.2263,14,1,0.819962203502655,million said health romney govern care weve budget month vote
15,0.8496243121883177,"In this last election in November, ... 63 percent of the American people chose not to vote, ... 80 percent of young people, (and) 75 percent of low-income workers chose not to vote.",elections,Vermont,independent,0.20613154800141248,-0.12785416142387748,0.02610319954262654,0.5202830562696388,-0.4440485826870501,0.8650244505001043,last elect novel percent american peopl chose vote percent young peopl percent low incom worker chose vote,"[0.108, 0.773, 0.119, 0.0516]",0,0.0516,15,3,0.6084082722663879,percent year state plan would time spend averag last nation
16,0.8496243121883177,McCain opposed a requirement that the government buy American-made motorcycles. And he said all buy-American provisions were quote 'disgraceful.' ,federal-budget,Illinois,democrat,2.7140249640680096,2.1167673465244192,3.522422309584104,3.5831794388329943,0.33938311463871024,0.6695921361697673,mccain oppos requir govern buy american made motorcycle said buy american proves quot disgrace,"[0.198, 0.802, 0.0, -0.4939]",0,-0.4939,16,6,0.909980297088623,state peopl million percent text support sent would country american
18,0.8496243121883177,"Water rates in Manila, Philippines, were raised up to 845 percent when a subsidiary of the World Bank became a partial owner.","financial-regulation,foreign-policy,water",Wisconsin,democrat,-0.5172992450947212,-0.43220962012873126,-0.42993842350626177,-0.43373384977468504,-0.3570006163175212,-0.2587113568993326,water rate manila philippic rais percent subsidiary world bank became partial owner,"[0.0, 1.0, 0.0, 0.0]",0,0.0,18,4,0.8874748349189758,percent rate vote state bill health florida year obama time
19,0.8496243121883177,"Almost 100,000 people left Puerto Rico last year.","bankruptcy,economy,population","Washington, D.C. ",democrat,-0.6619854037139481,-0.5463429171430514,-0.5312810064060147,-0.48394526588228104,-0.4440485826870501,0.7184502147523516,almost peopl left puerto rico last year,"[0.0, 1.0, 0.0, 0.0]",0,0.0,19,8,0.849956214427948,state health care rate unit percent county school spend country
20,-1.176990801292362,Women and men both are making less when you adjust for inflation than when John Kitzhaber was first elected governor.,"economy,income",Oregon,republican,-0.6619854037139481,-0.43220962012873126,-0.5059453606810765,-0.45883955782848307,-0.4440485826870501,1.1581729219956092,woman men make le adjust inflate john kitab first elect governor,"[0.0, 1.0, 0.0, 0.0]",0,0.0,20,9,0.8874711394309998,year peopl american health woman clinton care sinc trump million
22,0.8496243121883177,We just had the best year for the auto industry in America in history.,economy,New York,democrat,1.267163377875742,0.5189011883239368,1.2168785486147238,1.3989828381525684,0.16528718189965239,1.5490375506562828,best year auto industry america histori,"[0.0, 0.543, 0.457, 0.6369]",0,0.6369,22,9,0.507708728313446,year peopl american health woman clinton care sinc trump million
23,0.8496243121883177,"Says Scott Walker favors cutting up to 350,000 families and children off health care.","health-care,message-machine",Wisconsin,none,-0.5172992450947212,-0.470254052466838,-0.45527406923120006,-0.48394526588228104,-0.3570006163175212,-0.9427244570555116,say scott walker favor cut famili child health care,"[0.15, 0.429, 0.421, 0.5859]",0,0.5859,23,8,0.7166038751602173,state health care rate unit percent county school spend country
24,-1.176990801292362,Says Mitt Romney wants to get rid of Planned Parenthood.,"abortion,federal-budget,health-care","Washington, D.C.",none,-0.6137566841742058,-0.5843873494811581,-0.5312810064060147,-0.509050973936079,-0.4440485826870501,-1.6755956357942745,say mitt romney want get rid plan parenthood,"[0.0, 0.843, 0.157, 0.0772]",0,0.0772,24,1,0.8499655723571777,million said health romney govern care weve budget month vote
25,-1.176990801292362,I dont know who (Jonathan Gruber) is.,health-care,California,democrat,-0.5172992450947212,-0.3180763231144111,-0.2525889034316941,-0.45883955782848307,-0.18290468357846335,1.109314843413025,dont know jonathan grubber,"[0.0, 1.0, 0.0, 0.0]",0,0.0,25,6,0.6999539732933044,state peopl million percent text support sent would country american
26,0.8496243121883177,Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.,"crime,diversity,homeland-security,terrorism",New York,democrat,1.267163377875742,0.5189011883239368,1.2168785486147238,1.3989828381525684,0.16528718189965239,-0.8938663784729273,hate crime american muslim mosque trial pari san bernardino,"[0.507, 0.493, 0.0, -0.802]",-1,-0.802,26,9,0.8199469447135925,year peopl american health woman clinton care sinc trump million
27,0.8496243121883177,Rick Perry has never lost an election and remains the only person to have won the Texas governorship three times in landslide elections.,candidates-biography,Texas,republican,-0.6619854037139481,-0.5843873494811581,-0.4806097149561383,-0.509050973936079,-0.2699526499479923,0.27872750750909386,rick peri never lost elect remain person text governorship three time landslide elect,"[0.0, 0.859, 0.141, 0.2411]",0,0.2411,27,3,0.7823078632354736,percent year state plan would time spend averag last nation
28,-1.176990801292362,"ISIS supporter tweeted at 10:34 a.m. Shooting began at 10:45 a.m. in Chattanooga, Tenn.","technology,terrorism",New York,activist,-0.6619854037139481,-0.5463429171430514,-0.5059453606810765,-0.509050973936079,-0.4440485826870501,0.08329519317875687,isi support tweet shoot began chattanooga tenn,"[0.238, 0.495, 0.267, 0.0772]",0,0.0772,28,7,0.7749472260475159,vote help state year bill democrat company money educ took
29,0.8496243121883177,Youth unemployment in minority communities is about 40 to 45 percent.,"diversity,economy,jobs",Missouri,republican,-0.6619854037139481,-0.5843873494811581,-0.5312810064060147,-0.48394526588228104,-0.3570006163175212,0.8650244505001043,youth unemploy minor community percent,"[0.0, 1.0, 0.0, 0.0]",0,0.0,29,4,0.8199558258056641,percent rate vote state bill health florida year obama time
30,0.8496243121883177,Says Paul Ryan is still endorsing Trump.,"candidates-biography,elections,campaign-advertising",New York,democrat,1.267163377875742,0.5189011883239368,1.2168785486147238,1.3989828381525684,0.16528718189965239,-1.3824471642987695,say paul ryan still vendors trump,"[0.0, 1.0, 0.0, 0.0]",0,0.0,30,2,0.508027970790863,obama presid barack state percent wisconsin billion sinc feder debt
31,-1.176990801292362,"If you look at states that are right to work, they constantly do not have budget deficits and they have very good business climates.","economy,labor,states,unions,workers",Rhode Island,republican,-0.6137566841742058,-0.5843873494811581,-0.5312810064060147,-0.509050973936079,-0.4440485826870501,1.109314843413025,look state right work constant budget deficit good busi climat,"[0.199, 0.588, 0.213, 0.0516]",0,0.0516,31,2,0.9099740982055664,obama presid barack state percent wisconsin billion sinc feder debt
32,-1.176990801292362,What (the Obama administration is) going to come out with in the next several months is youre not even going to be able to burn coal very limitedly in the existing plants.,"climate-change,energy,environment,government-regulation",West Virginia,republican,-0.6137566841742058,-0.5463429171430514,-0.5312810064060147,-0.509050973936079,-0.4440485826870501,1.4024633149085306,obama administr go come next sever month your even go abl burn coal limit exist plant,"[0.0, 1.0, 0.0, 0.0]",0,0.0,32,8,0.5237806439399719,state health care rate unit percent county school spend country
33,0.8496243121883177,We cut business taxes so today 70 percent of our businesses dont pay a business tax.,"small-business,taxes",Florida,republican,0.688418743398835,0.2906345942952965,0.4314735311416384,0.3445430998930528,0.16528718189965239,-1.2358729285510168,cut busi tax today percent busi dont pay busi tax,"[0.184, 0.702, 0.114, -0.2033]",0,-0.2033,33,6,0.8713966608047485,state peopl million percent text support sent would country american
34,0.8496243121883177,Says Mark Pryor votes with Obama 93 percent of the time.,"bipartisanship,voting-record",Arkansas,republican,-0.5172992450947212,-0.43220962012873126,-0.4806097149561383,-0.43373384977468504,-0.3570006163175212,0.8161663719175201,say mark prior vote obama percent time,"[0.0, 1.0, 0.0, 0.0]",0,0.0,34,4,0.6297079920768738,percent rate vote state bill health florida year obama time
35,0.8496243121883177,We have a federal government that thinks they have the authority to regulate our toilet seats.,"consumer-safety,corrections-and-updates,government-regulation,market-regulation,states,supreme-court,workers",Texas,republican,1.074248499716773,0.6710789176763636,-0.15124632053194115,-0.032042520913917134,0.2523351482691813,1.2558890791607777,feder govern think author regul toilet seat,"[0.0, 1.0, 0.0, 0.0]",0,0.0,35,0,0.8714051842689514,year state feder make fund public iller obama offic would
36,0.8496243121883177,Austin is a city that has basically doubled in size every 25 years or so since it was founded.,"city-government,population",Texas,democrat,-0.6137566841742058,-0.5843873494811581,-0.42993842350626177,-0.48394526588228104,-0.4440485826870501,1.0604567648304408,austin citi basic doubl size every year sinc found,"[0.0, 1.0, 0.0, 0.0]",0,0.0,36,9,0.7746484279632568,year peopl american health woman clinton care sinc trump million
39,0.8496243121883177,"Under President George W. Bush, we added $4.9 trillion to the debt. Under President Obama weve added $6.5 trillion to the debt.",debt,New Hampshire,republican,-0.5655279646344635,-0.5463429171430514,-0.5059453606810765,-0.4086281417208871,-0.4440485826870501,-0.7961502213077588,presid george w bush ad trillion debt presid obama weve ad trillion debt,"[0.333, 0.667, 0.0, -0.6124]",0,-0.6124,39,5,0.9181676506996155,presid state every obama country dollar economi would unit call
40,-1.176990801292362,Says a U.S. Supreme Court justice suggested that some U.S. cases will be decided based on South African law.,"legal-issues,supreme-court",Florida,republican,0.9295623410975462,0.3286790266334032,0.27945965679200896,0.3696488079468508,-0.008808750839405478,-0.5030017498122535,say u supreme court justic suggest u case decid base south african law,"[0.0, 0.735, 0.265, 0.5574]",0,0.5574,40,2,0.4679664671421051,obama presid barack state percent wisconsin billion sinc feder debt
44,-1.176990801292362,We have a director of homeland security who cannot use and will not use the term 'terrorist attack' but instead substitutes 'man-made disaster.' ,"homeland-security,terrorism",Texas,republican,-0.6137566841742058,-0.5463429171430514,-0.5059453606810765,-0.43373384977468504,-0.4440485826870501,-0.40528559264708536,director homeland secur use use term terrorist attack instead substitute man made disas,"[0.415, 0.585, 0.0, -0.8316]",0,-0.8316,44,2,0.8714025020599365,obama presid barack state percent wisconsin billion sinc feder debt
45,0.8496243121883177,African-American youth unemployment is 51 percent. Hispanic youth unemployment is 36 percent.,"diversity,economy,jobs",Vermont,independent,0.20613154800141248,-0.12785416142387748,0.02610319954262654,0.5202830562696388,-0.4440485826870501,0.13215327176134112,african american youth unemploy percent hispana youth unemploy percent,"[0.0, 1.0, 0.0, 0.0]",0,0.0,45,3,0.8874829411506653,percent year state plan would time spend averag last nation
47,-1.176990801292362,President Barack Obama took exactly none of his own deficit reduction commissions ideas. Not one.,"deficit,federal-budget",Ohio,republican,-0.035012049697298785,0.25259016195718975,-0.2525889034316941,-0.4086281417208871,-0.2699526499479923,-1.1381567713858483,presid barack obama took exact none deficit reduce commits idea one,"[0.087, 0.73, 0.183, 0.2924]",0,0.2924,47,2,0.5659542679786682,obama presid barack state percent wisconsin billion sinc feder debt
50,-1.176990801292362,Says the paperback edition of Mitt Romneys book deleted line that Massachusetts individual mandate should be the model for the country,"health-care,states",Texas,republican,0.7848761824783195,0.5569456206620436,0.5328161140413914,0.06838031130127485,1.1228148119644705,0.42530174325684605,say paperback edit mitt romney book delete line massachusetts individu mandat model country,"[0.0, 1.0, 0.0, 0.0]",0,0.0,50,1,0.5357488393783569,million said health romney govern care weve budget month vote
52,-1.176990801292362,Says Terry McAuliffe is the person who invented the scheme to rent out the Lincoln Bedroom.,"campaign-finance,ethics,history",Virginia,republican,-0.6137566841742058,-0.2039430261000909,-0.45527406923120006,-0.45883955782848307,-0.3570006163175212,0.8161663719175201,say terri mcauliff person invent scheme rent lincoln bedroom,"[0.0, 1.0, 0.0, 0.0]",0,0.0,52,5,0.5498927235603333,presid state every obama country dollar economi would unit call
53,0.8496243121883177,"We created 800,000 new jobs, we cut the unemployment rate almost in half and today New York State has more private sector jobs than it has ever had in its history",jobs,New York,democrat,-0.6137566841742058,-0.5843873494811581,-0.5312810064060147,-0.48394526588228104,-0.4440485826870501,0.6695921361697673,creat new job cut unemploy rate almost half today new york state privat sector job ever histori,"[0.116, 0.884, 0.0, -0.2732]",0,-0.2732,53,8,0.6237195730209351,state health care rate unit percent county school spend country
54,-1.176990801292362,"We have towns in West Texas that are out of water, that are having to truck in water.",water,Texas,republican,-0.6137566841742058,-0.5082984848049447,-0.4806097149561383,-0.509050973936079,-0.3570006163175212,1.2558890791607777,town west text water truck water,"[0.0, 1.0, 0.0, 0.0]",0,0.0,54,8,0.8499721884727478,state health care rate unit percent county school spend country
55,0.8496243121883177,"In Georgia, women earn 82 cents for every dollar earned by men.","jobs,women",Georgia,democrat,-0.6619854037139481,-0.5843873494811581,-0.4806097149561383,-0.509050973936079,-0.4440485826870501,0.8161663719175201,georgia woman earn cent every dollar earn men,"[0.0, 1.0, 0.0, 0.0]",0,0.0,55,5,0.6955237984657288,presid state every obama country dollar economi would unit call
56,0.8496243121883177,A federal system that verifies employees are authorized to work in the U.S. is inaccurate anywhere from 50 percent all the way up to in excess of 80 percent of the time.,immigration,Georgia,none,-0.6619854037139481,-0.5843873494811581,-0.5059453606810765,-0.509050973936079,-0.4440485826870501,0.8650244505001043,feder system verify employe author work u incur anywhere percent way excess percent time,"[0.0, 1.0, 0.0, 0.0]",0,0.0,56,0,0.4770735204219818,year state feder make fund public iller obama offic would
57,-1.176990801292362,"They were going to build the wall a while ago, not so long ago, like in 06. And they couldnt get environmental impact statements.",immigration,New York,republican,2.3764239272898138,3.7526779370630083,0.7608369255658355,0.4198602240544468,4.865877365854215,1.3536052363259463,go build wall ago long ago like couldnt get environment impact statement,"[0.0, 0.815, 0.185, 0.3612]",0,0.3612,57,7,0.8713960647583008,vote help state year bill democrat company money educ took
58,-1.176990801292362,Sen. Obama's campaign announced that he's choosing his cabinet.,elections,Arizona,republican,0.8331049020180618,0.899345511705004,0.2541240110670707,0.4198602240544468,0.2523351482691813,-0.06327904256899589,sen obama campaign announc choos cabinet,"[0.0, 1.0, 0.0, 0.0]",0,0.0,58,2,0.6999232769012451,obama presid barack state percent wisconsin billion sinc feder debt
59,0.8496243121883177,"In 2008, only 54 percent of Latinos in Texas were registered to vote and only 35 percent actually turned out.","elections,population",Texas,democrat,-0.6619854037139481,-0.5843873494811581,-0.5312810064060147,-0.48394526588228104,-0.4440485826870501,0.47415982183943034,percent latino text resist vote percent actual turn,"[0.0, 1.0, 0.0, 0.0]",0,0.0,59,4,0.7639671564102173,percent rate vote state bill health florida year obama time
60,-1.176990801292362,Only 2 percent of public high schools in the country offer PE classes.,"education,health-care",Illinois,democrat,-0.6619854037139481,-0.5082984848049447,-0.5059453606810765,-0.4086281417208871,-0.4440485826870501,0.8161663719175201,percent public high school country offer pe class,"[0.0, 1.0, 0.0, 0.0]",0,0.0,60,8,0.6997289657592773,state health care rate unit percent county school spend country
61,0.8496243121883177,"Said he's the only Republican candidate ""who's actually turned around a government economy.""",job-accomplishments,New York,republican,-0.22792692785626778,-0.16589859376198418,-0.27792454915663234,-0.33331101755949305,-0.18290468357846335,1.4024633149085306,said republican candid actual turn around govern economi,"[0.0, 1.0, 0.0, 0.0]",0,0.0,61,1,0.8999696373939514,million said health romney govern care weve budget month vote
62,0.8496243121883177,"On military recruiters at Harvard, Elena Kagan ""took a position and the Supreme Court ruled unanimously that she was wrong.""","education,gays-and-lesbians,kagan-nomination,military,supreme-court",Wyoming,republican,-0.6137566841742058,-0.5843873494811581,-0.5312810064060147,-0.509050973936079,-0.4440485826870501,0.47415982183943034,military recruit harvard elena kagan took posit supreme court rule unani wrong,"[0.186, 0.599, 0.216, 0.128]",0,0.128,62,2,0.5718758702278137,obama presid barack state percent wisconsin billion sinc feder debt
63,0.8496243121883177,"There are 321,092 public school teachers in Texas. And there are 313,850 non-teachers in our public schools.","education,message-machine,taxes",Texas,none,-0.6137566841742058,-0.5843873494811581,-0.5312810064060147,-0.48394526588228104,-0.4440485826870501,0.2298694289265096,public school teacher text non teacher public school,"[0.0, 1.0, 0.0, 0.0]",0,0.0,63,0,0.8874801993370056,year state feder make fund public iller obama offic would
64,-1.176990801292362,"Under Mayor Cicilline, [Providence] was a sanctuary city.","history,homeland-security,immigration,legal-issues,pundits",Rhode Island,talk-show-host,-0.6619854037139481,-0.470254052466838,-0.5312810064060147,-0.509050973936079,-0.18290468357846335,-0.9915825356380958,mayor chillin provid sanctuary citi,"[0.0, 1.0, 0.0, 0.0]",0,0.0,64,9,0.7749586701393127,year peopl american health woman clinton care sinc trump million
65,-1.176990801292362,Transgender individuals in the U.S. have a 1-in-12 chance of being murdered.,"corrections-and-updates,crime,criminal-justice,sexuality",Texas,democrat,-0.6137566841742058,-0.5843873494811581,-0.5059453606810765,-0.509050973936079,-0.3570006163175212,0.5230179004220146,transcend individu u chanc murder,"[0.61, 0.39, 0.0, -0.6908]",-1,-0.6908,65,8,0.3828243911266327,state health care rate unit percent county school spend country
66,0.8496243121883177,"At Bain Capital, we helped start an early childhood learning company called Bright Horizons that First Lady Michelle Obama rightly praised.","candidates-biography,job-accomplishments",Massachusetts,republican,0.9777910606372885,0.6330344853382569,0.9381864456404031,0.3194373918392548,1.2098627783339995,-0.4541436712296696,bain capit help start early childhood learn company call bright horizon first ladi michelle obama right praise,"[0.0, 0.603, 0.397, 0.8481]",0,0.8481,66,7,0.5860281586647034,vote help state year bill democrat company money educ took
67,-1.176990801292362,"Says the man who rushed the stage at him in Dayton, Ohio, had chatter about ISIS, or with ISIS in his social media posts.","civil-rights,elections,terrorism",New York,republican,2.3764239272898138,3.7526779370630083,0.7608369255658355,0.4198602240544468,4.865877365854215,0.9138825290826881,say man rush stage dayton ohio chatter isi isi social medium post,"[0.0, 1.0, 0.0, 0.0]",0,0.0,67,0,0.7749690413475037,year state feder make fund public iller obama offic would
68,-1.176990801292362,U.S. Rep. Phil Gingrey gave the government the power to electronically spy on Americans without a warrant.,"criminal-justice,terrorism",Georgia,republican,-0.6137566841742058,-0.5843873494811581,-0.5312810064060147,-0.509050973936079,-0.4440485826870501,0.3275855860916776,u rep phil gingery gave govern power electron spi american without warrant,"[0.0, 1.0, 0.0, 0.0]",0,0.0,68,1,0.8499689698219299,million said health romney govern care weve budget month vote
69,-1.176990801292362,Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.,"economy,financial-regulation,message-machine",Florida,republican,0.688418743398835,0.2906345942952965,0.4314735311416384,0.3445430998930528,0.16528718189965239,-1.6755956357942745,alex sink funnel three quarter million dollar bid contract bank america,"[0.0, 0.901, 0.099, 0.0258]",0,0.0258,69,1,0.8874724507331848,million said health romney govern care weve budget month vote
70,0.8496243121883177,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor.",jobs,Virginia,democrat,-0.08324076923704103,-0.3561207554525178,-0.4806097149561383,-0.45883955782848307,-0.18290468357846335,0.9138825290826881,take popul growth virginia net zero job creation sinc bob mcconnell became governor,"[0.0, 0.701, 0.299, 0.5719]",0,0.5719,70,2,0.7233824133872986,obama presid barack state percent wisconsin billion sinc feder debt
71,-1.176990801292362,"Under Obama, home values in Florida collapsed, construction jobs were lost and the state had a high foreclosure rate.","housing,message-machine-2012",Massachusetts,republican,0.9777910606372885,0.6330344853382569,0.9381864456404031,0.3194373918392548,1.2098627783339995,0.18101135034392538,obama home valu florida collapse construct job lost state high foreclosure rate,"[0.438, 0.562, 0.0, -0.7184]",0,-0.7184,71,4,0.8999808430671692,percent rate vote state bill health florida year obama time
72,0.8496243121883177,"The new Arizona immigration law ""says that any police officer can stop anyone who appears to them to be reasonably suspicious of being an undocumented person.""","immigration,legal-issues",Arizona,democrat,-0.6619854037139481,-0.5843873494811581,-0.5312810064060147,-0.48394526588228104,-0.4440485826870501,0.42530174325684605,new arizona immigra law say polic offic stop anyone appear reason suspect undock person,"[0.268, 0.732, 0.0, -0.5267]",0,-0.5267,72,0,0.4638623297214508,year state feder make fund public iller obama offic would
74,0.8496243121883177,The cost of health care is now the single-biggest factor driving down the federal budget deficit.,"deficit,federal-budget,health-care",Illinois,democrat,2.7140249640680096,2.1167673465244192,3.522422309584104,3.5831794388329943,0.33938311463871024,0.5718759790045989,cost health care singl biggest factor drive feder budget deficit,"[0.194, 0.576, 0.23, 0.128]",0,0.128,74,9,0.9099823832511902,year peopl american health woman clinton care sinc trump million
75,0.8496243121883177,"During the recession, the consumer in his native perversity has begun to save. The savings rate is now 6.2 percent.","economy,abc-news-week",Maryland,columnist,-0.3243843669357523,-0.3561207554525178,-0.45527406923120006,-0.38352243366708905,-0.3570006163175212,-0.01442096398641163,recess consum native servers begun save save rate percent,"[0.0, 0.522, 0.478, 0.7506]",0,0.7506,75,4,0.34691789746284485,percent rate vote state bill health florida year obama time
76,-1.176990801292362,On whether a U.S. Supreme Court nominee should be forthcoming at confirmation hearings.,"kagan-nomination,supreme-court",New York,democrat,-0.6619854037139481,-0.5843873494811581,-0.5059453606810765,-0.509050973936079,-0.4440485826870501,0.47415982183943034,whether u supreme court nomine forthcom confirm hear,"[0.0, 0.625, 0.375, 0.5574]",0,0.5574,76,5,0.34136953949928284,presid state every obama country dollar economi would unit call
79,0.8496243121883177,I think it is unacceptable for the Chinese today to be larger in wind power and in solar panels and photovoltaic manufacturing than all of Europe put together -- forget the United States.,energy,Florida,democrat,-0.6137566841742058,-0.5843873494811581,-0.5059453606810765,-0.509050973936079,-0.4440485826870501,0.620734057587183,think accept chines today larger wind power solar panel photovoltaic manufactur euro put togeth forget unit state,"[0.097, 0.769, 0.133, 0.1779]",0,0.1779,79,3,0.9099807739257812,percent year state plan would time spend averag last nation
80,0.8496243121883177,Says Scott Brown co-sponsored legislation to let employers deny women coverage for birth control.,"health-care,legal-issues,women",New Hampshire,democrat,-0.5172992450947212,-0.5843873494811581,-0.42993842350626177,-0.45883955782848307,-0.4440485826870501,-2.1153183430375324,say scott brown co sponsor legis let employ deny woman coverage birth control,"[0.167, 0.833, 0.0, -0.34]",0,-0.34,80,9,0.6920965313911438,year peopl american health woman clinton care sinc trump million
81,0.8496243121883177,"At some point in their lives, 99% of women use birth control.",sexuality,Wisconsin,democrat,-0.6619854037139481,-0.5843873494811581,-0.5059453606810765,-0.509050973936079,-0.4440485826870501,-0.11213712115158013,point life woman use birth control,"[0.0, 1.0, 0.0, 0.0]",0,0.0,81,9,0.8499661087989807,year peopl american health woman clinton care sinc trump million
83,-1.176990801292362,The amount of attention paid this week to Chris Christie makes the coverage of Benghazi ... pale in significance.,"terrorism,transportation",Texas,republican,-0.5655279646344635,-0.39416518779062454,-0.4806097149561383,-0.3082053095056951,-0.4440485826870501,0.8161663719175201,amount attent paid week chris christi make coverage bengali pale significa,"[0.0, 1.0, 0.0, 0.0]",0,0.0,83,8,0.7398454546928406,state health care rate unit percent county school spend country
84,0.8496243121883177,Says U.S. Rep. Steve Southerland voted to keep the shutdown going.,federal-budget,Florida,democrat,-0.6619854037139481,-0.5843873494811581,-0.5059453606810765,-0.509050973936079,-0.4440485826870501,-0.6007179069774221,say u rep steve sutherland vote keep shutdown go,"[0.0, 1.0, 0.0, 0.0]",0,0.0,84,7,0.6999027729034424,vote help state year bill democrat company money educ took
